Person_Age,Person_Income,Person_Home_Ownership,Person_Emp_Length,Loan_Intent,Loan_Grade,Loan_Amnt,Loan_Int_Rate,Loan_Status,Loan_Percent_Income,Cb_Person_Default_On_File,Cb_Person_Cred_Hist_Length
22,59000.0,RENT,10,PERSONAL,D,29800.0,16.02,1,0.59,1,3
21,9600.0,OWN,5,EDUCATION,B,1000.0,11.14,0,0.1,0,2
25,9600.0,MORTGAGE,1,MEDICAL,C,5500.0,12.87,1,0.57,0,3
23,65500.0,RENT,4,MEDICAL,C,29800.0,15.23,1,0.53,0,2
24,54400.0,RENT,8,MEDICAL,C,29800.0,14.27,1,0.55,1,4
21,9900.0,OWN,2,VENTURE,A,2500.0,7.14,1,0.25,0,2
26,77100.0,RENT,8,EDUCATION,B,29800.0,12.42,1,0.45,0,3
24,78956.0,RENT,5,MEDICAL,B,29800.0,11.11,1,0.44,0,4
24,83000.0,RENT,8,PERSONAL,A,29800.0,8.9,1,0.42,0,2
21,10000.0,OWN,6,VENTURE,D,1600.0,14.74,1,0.16,0,3
22,85000.0,RENT,6,VENTURE,B,29800.0,10.37,1,0.41,0,4
21,10000.0,OWN,2,HOMEIMPROVEMENT,A,4500.0,8.63,1,0.45,0,2
23,95000.0,RENT,2,VENTURE,A,29800.0,7.9,1,0.37,0,2
26,108160.0,RENT,4,EDUCATION,E,29800.0,18.39,1,0.32,0,4
23,115000.0,RENT,2,EDUCATION,A,29800.0,7.9,0,0.3,0,4
23,225000.0,MORTGAGE,7,DEBTCONSOLIDATION,B,29800.0,10.65,0,0.06,0,3
23,120000.0,RENT,0,EDUCATION,A,29800.0,7.9,0,0.29,0,4
23,92111.0,RENT,7,MEDICAL,F,29800.0,20.25,1,0.32,0,4
23,113000.0,RENT,8,DEBTCONSOLIDATION,D,29800.0,18.25,1,0.31,0,4
24,10800.0,MORTGAGE,8,EDUCATION,B,1750.0,10.99,1,0.16,0,2
25,162500.0,RENT,2,VENTURE,A,29800.0,7.49,0,0.22,0,4
25,137000.0,RENT,9,PERSONAL,E,29800.0,16.77,0,0.25,1,2
22,65000.0,RENT,4,EDUCATION,D,29800.0,17.58,1,0.52,0,4
24,10980.0,OWN,0,PERSONAL,A,1500.0,7.29,0,0.14,0,3
22,80000.0,RENT,3,PERSONAL,D,29800.0,14.54,1,0.42,1,4
